iter,sqa,math,len_sqa,len_math,surv,buf,pg,kl,gn,ret
1,0.635,0.841,426,553,63,504,0.0,0.0008,2.2,0
2,0.641,0.904,426,562,64,512,-0.0,0.0011,3.34,0
3,0.674,0.885,427,544,64,512,-0.0001,0.0014,1.3,0
4,0.641,0.803,418,557,64,512,-0.0001,0.0018,3.5,0
5,0.704,0.942,450,538,64,512,0.0,0.0111,0.66,0
6,0.757,0.851,426,581,63,504,0.0,0.0029,1.91,0
7,0.763,0.861,409,532,62,496,-0.0001,0.0034,3.16,0
8,0.753,0.928,431,549,64,512,-0.0001,0.0042,3.17,0
9,0.72,0.899,439,549,63,504,-0.0,0.0052,0.97,0
10,0.724,0.841,397,570,62,496,0.0001,0.0063,3.36,0
11,0.73,0.851,415,527,64,512,-0.0,0.0081,3.64,0
12,0.605,0.894,382,510,63,504,-0.0001,0.0101,2.03,0
