iter,sqa,math,len_sqa,len_math,surv,buf,pg,kl,gn,ret
1,0.566,0.567,,,57,298,0.1951,0.0385,5.31,5
2,0.579,0.697,,,52,274,0.202,0.0809,1.54,16
3,0.661,0.721,,,54,273,0.2355,0.5578,12.38,25
4,0.566,0.601,,,55,291,0.2153,5.5381,11.56,31
5,0.655,0.755,,,46,240,0.2309,0.2347,6.94,48
6,0.658,0.774,,,53,273,0.2337,0.3153,15.19,59
7,0.576,0.75,,,49,268,0.1841,0.6745,120.0,73
8,0.526,0.817,,,50,277,0.2163,0.3901,7.12,86
9,0.546,0.702,,,50,268,0.1868,0.2898,11.88,98
10,0.632,0.697,,,46,236,0.2098,1.5383,8.69,114
11,0.589,0.822,,,47,259,0.2229,0.3504,10.81,131
12,0.618,0.74,,,53,276,0.2106,0.2016,9.81,140
13,0.599,0.769,,,48,255,0.1991,0.1548,11.19,154
14,0.632,0.716,,,47,254,0.2092,181.1416,20.12,169
15,0.523,0.62,,,52,278,0.1898,0.309,14.25,176
16,0.615,0.784,,,47,245,0.2157,167.1361,15.44,189
17,0.543,0.625,,,51,280,0.1535,0.8896,24.75,199
18,0.526,0.779,,,46,251,0.2094,4.8726,14.62,212
19,0.536,0.788,,,51,274,0.2359,2.008,28.0,222
20,0.484,0.774,,,46,252,0.2056,1.7877,11.31,233
21,0.51,0.668,,,54,287,0.184,2.9138,22.0,239
22,0.467,0.639,,,53,282,0.1551,3.3178,20.62,245
23,0.579,0.615,,,56,286,0.1326,3.7378,31.38,250
24,0.582,0.678,,,44,221,0.1704,4.1435,78.5,262
25,0.543,0.76,,,45,244,0.2018,4.0039,7.38,277
26,0.48,0.726,,,48,267,0.1752,6.4234,4.19,288
27,0.388,0.591,,,49,278,0.1749,15.1341,50.5,295
28,0.336,0.678,,,51,291,0.1802,18.3454,7.28,301
29,0.395,0.481,,,56,302,0.196,13.7813,12.31,301
30,0.359,0.197,,,43,237,0.0849,19.4153,15.69,302
31,0.349,0.13,,,45,246,0.0651,23.9059,12.25,303
32,0.263,0.428,,,53,298,0.1316,28.3304,23.12,303
33,0.434,0.346,,,58,309,0.0971,28.5064,32.0,305
34,0.27,0.207,,,49,274,0.0795,34.5426,34.0,305
35,0.329,0.188,,,55,320,0.0833,31.787,25.12,307
36,0.28,0.341,,,60,343,0.0457,36.8008,9.31,307
37,0.336,0.216,,,57,335,0.0778,35.238,33.5,308
38,0.408,0.24,,,58,325,0.0869,31.8817,31.12,308
39,0.388,0.356,,,59,325,0.0761,40.3042,10.06,309
40,0.312,0.462,,,51,283,0.1445,39.0426,57.75,311
41,0.401,0.447,,,60,325,0.1093,35.5498,26.5,313
42,0.408,0.298,,,57,315,0.0946,35.3475,8.25,313
43,0.484,0.399,,,56,291,0.0778,36.5246,37.25,315
44,0.592,0.346,,,57,299,0.0804,38.1906,26.25,319
45,0.51,0.389,,,58,312,0.1415,33.9341,8.31,321
46,0.365,0.274,,,57,321,0.1013,48.4858,40.25,323
47,0.53,0.428,,,61,320,0.0721,36.7607,12.69,324
48,0.451,0.399,,,56,294,0.1063,40.1445,9.06,327
49,0.516,0.245,,,52,279,0.1251,41.7134,12.19,328
50,0.431,0.034,,,42,260,0.1615,50.984,9.12,329
51,0.464,0.048,,,42,243,0.1426,42.598,16.88,331
52,0.408,0.053,,,44,268,0.1654,82.7403,9.31,331
53,0.395,0.034,,,39,236,0.1824,58.1418,18.25,331
54,0.434,0.077,,,42,240,0.1482,42.1479,23.62,332
55,0.336,0.072,,,43,255,0.1307,48.7652,21.12,332
56,0.391,0.226,,,59,328,0.0415,39.373,9.75,333
57,0.382,0.139,,,52,300,0.116,41.1259,37.5,336
58,0.382,0.226,,,54,302,0.1052,43.3441,6.69,340
59,0.434,0.264,,,57,312,0.07,49.516,29.88,342
