iter,sqa,math,len_sqa,len_math,surv,buf,pg,kl,gn,ret
1,0.566,0.567,,,57,356,0.0299,0.0207,7.06,5
2,0.595,0.678,,,51,328,0.04,0.9993,4.19,15
3,0.645,0.678,,,58,376,0.0503,0.1056,5.38,21
4,0.582,0.635,,,50,312,0.0297,0.0748,15.44,32
5,0.632,0.745,,,51,328,0.0499,0.7254,6.84,44
6,0.589,0.798,,,49,332,0.0501,0.2665,2.47,59
7,0.628,0.75,,,48,320,0.0351,0.4342,14.38,73
8,0.569,0.812,,,45,300,0.039,0.1011,6.31,90
9,0.533,0.649,,,48,312,0.0263,0.6161,5.47,103
10,0.569,0.764,,,48,312,0.0258,0.1421,10.75,118
11,0.582,0.817,,,43,296,0.0374,0.7252,11.0,137
12,0.589,0.764,,,48,308,0.0518,0.1258,2.7,150
13,0.595,0.779,,,48,316,0.0404,0.209,18.62,163
14,0.641,0.745,,,48,316,0.0259,0.2162,3.22,178
15,0.648,0.625,,,50,320,0.0216,0.1148,3.11,190
16,0.592,0.731,,,46,304,0.0555,0.1854,1.19,205
17,0.572,0.769,,,52,340,0.063,0.8592,5.16,215
18,0.618,0.764,,,42,280,0.0165,0.1508,4.31,233
19,0.533,0.817,,,41,268,0.0705,0.2782,8.56,251
20,0.536,0.726,,,50,332,0.0241,0.1909,4.06,264
21,0.648,0.822,,,43,280,0.0707,0.1707,7.78,284
22,0.645,0.721,,,47,312,0.0156,0.2233,5.0,299
23,0.668,0.788,,,42,272,0.0323,0.2753,2.02,319
24,0.615,0.837,,,47,316,0.0529,0.5096,19.25,335
25,0.625,0.851,,,38,264,0.0312,0.3704,9.31,357
26,0.569,0.841,,,41,276,0.03,0.2469,4.69,377
27,0.681,0.832,,,43,296,0.0274,262.9366,8.69,398
28,0.609,0.817,,,35,232,0.047,0.2683,9.62,423
29,0.618,0.837,,,41,284,0.0103,0.2576,2.44,445
30,0.615,0.769,,,41,268,0.042,0.3372,5.25,464
31,0.645,0.736,,,41,252,0.0574,0.5408,10.88,483
32,0.664,0.678,,,48,304,0.0398,0.7103,16.75,497
33,0.645,0.803,,,42,284,0.0293,0.5225,11.75,518
34,0.599,0.808,,,42,276,0.033,0.7079,4.31,537
35,0.668,0.861,,,43,288,0.0492,10.4301,8.19,558
36,0.727,0.673,,,45,268,0.0627,1.9691,9.81,576
37,0.579,0.707,,,48,312,0.0461,3.4166,12.06,588
38,0.612,0.635,,,48,304,0.0486,0.413,1.65,599
39,0.727,0.63,,,37,236,0.0231,18.0445,0.82,621
40,0.651,0.668,,,39,248,0.0137,28.9249,7.53,644
41,0.651,0.688,,,35,220,0.033,0.2341,2.58,668
42,0.625,0.721,,,41,260,0.0418,0.2873,3.81,688
43,0.704,0.712,,,41,272,0.0165,0.2579,1.34,709
44,0.609,0.76,,,37,236,0.0617,0.3704,3.84,732
45,0.753,0.673,,,38,228,0.0283,1063.5131,5.34,756
46,0.632,0.678,,,42,256,0.0622,0.3101,2.44,774
47,0.697,0.764,,,36,228,0.0503,0.427,9.06,798
48,0.694,0.784,,,33,212,0.0528,0.3398,1.26,827
49,0.615,0.726,,,38,236,0.0392,0.2816,1.24,848
50,0.622,0.692,,,36,228,0.019,0.2557,10.38,871
51,0.743,0.827,,,33,220,0.0275,0.4058,4.34,901
52,0.711,0.784,,,30,180,0.0296,0.3793,2.64,932
53,0.674,0.74,,,39,252,0.0488,0.4481,1.79,956
54,0.77,0.822,,,38,232,0.0836,0.2814,4.19,981
