step,loss,lr,grad_norm
1,1.0793,1.111e-06,28.625
2,1.0602,2.222e-06,43.75
3,0.9609,3.333e-06,97.5
4,0.8147,4.444e-06,936.0
5,0.8215,5.556e-06,70.0
6,0.8178,6.667e-06,17.0
7,0.9694,7.778e-06,15.3125
8,0.8804,8.889e-06,7.0625
9,0.9177,1.000e-05,10.75
10,0.6501,9.944e-06,5.8125
11,0.6769,9.888e-06,4.625
12,0.8063,9.832e-06,7.3438
13,0.6994,9.777e-06,5.0938
14,0.6236,9.721e-06,6.3438
15,0.8188,9.665e-06,6.0312
16,0.6283,9.609e-06,5.3438
17,0.7195,9.553e-06,4.9375
18,0.6523,9.497e-06,4.8438
19,0.7349,9.441e-06,4.125
20,0.7103,9.385e-06,4.0938
21,0.642,9.330e-06,6.0625
22,0.701,9.274e-06,4.5312
23,0.5642,9.218e-06,4.125
24,0.593,9.162e-06,3.8125
25,0.7082,9.106e-06,4.3125
26,0.6877,9.050e-06,4.2812
27,0.6552,8.994e-06,4.1562
28,0.6534,8.939e-06,4.0938
29,0.6518,8.883e-06,4.0625
30,0.5466,8.827e-06,4.0312
31,0.6705,8.771e-06,4.0312
32,0.6219,8.715e-06,3.7969
33,0.5829,8.659e-06,4.0625
34,0.6268,8.603e-06,4.4688
35,0.569,8.547e-06,5.4688
36,0.5642,8.492e-06,4.0625
37,0.6268,8.436e-06,4.375
38,0.561,8.380e-06,3.5
39,0.5642,8.324e-06,3.9688
40,0.6399,8.268e-06,3.9375
41,0.6088,8.212e-06,4.1562
42,0.6427,8.156e-06,4.125
43,0.6829,8.101e-06,4.0
44,0.6265,8.045e-06,4.125
45,0.6394,7.989e-06,3.9219
46,0.5511,7.933e-06,3.7656
47,0.5753,7.877e-06,3.4844
48,0.6098,7.821e-06,4.0
49,0.6052,7.765e-06,3.8281
50,0.5788,7.709e-06,3.7188
51,0.6722,7.654e-06,4.5938
52,0.6042,7.598e-06,3.8594
53,0.6288,7.542e-06,4.0312
54,0.7032,7.486e-06,3.7969
55,0.6364,7.430e-06,4.0
56,0.5442,7.374e-06,3.6406
57,0.6014,7.318e-06,3.8594
58,0.5388,7.263e-06,3.5
59,0.4955,7.207e-06,4.2812
60,0.5827,7.151e-06,3.9219
61,0.549,7.095e-06,3.5469
62,0.576,7.039e-06,3.3438
63,0.5248,6.983e-06,3.7031
64,0.5085,6.927e-06,3.3594
65,0.5137,6.872e-06,3.4844
66,0.5634,6.816e-06,3.7031
67,0.5357,6.760e-06,3.4062
68,0.6282,6.704e-06,3.9531
69,0.5621,6.648e-06,3.9531
70,0.6698,6.592e-06,3.8125
71,0.6193,6.536e-06,3.625
72,0.5714,6.480e-06,3.4688
73,0.645,6.425e-06,3.5781
74,0.5552,6.369e-06,3.625
75,0.5982,6.313e-06,3.6719
76,0.5304,6.257e-06,3.4531
77,0.5981,6.201e-06,3.4062
78,0.6364,6.145e-06,3.7031
79,0.4542,6.089e-06,3.2031
80,0.6022,6.034e-06,3.6406
81,0.6418,5.978e-06,3.5312
82,0.6131,5.922e-06,3.4531
83,0.5559,5.866e-06,3.375
84,0.6631,5.810e-06,3.6719
85,0.6444,5.754e-06,3.8281
86,0.5829,5.698e-06,3.6094
87,0.655,5.642e-06,3.7969
88,0.5573,5.587e-06,3.3438
89,0.5679,5.531e-06,3.4844
90,0.608,5.475e-06,3.625
91,0.4814,5.419e-06,3.25
92,0.5237,5.363e-06,3.1406
93,0.5202,5.307e-06,3.2656
94,0.5688,5.251e-06,3.3125
95,0.4732,5.196e-06,3.0469
96,0.595,5.140e-06,3.4062
97,0.5217,5.084e-06,3.3281
98,0.625,5.028e-06,3.6875
99,0.5071,4.972e-06,3.1562
100,0.4801,4.916e-06,3.1406
101,0.5544,4.860e-06,3.5312
102,0.6091,4.804e-06,3.4062
103,0.5358,4.749e-06,3.2656
104,0.5947,4.693e-06,3.8438
105,0.632,4.637e-06,3.7031
106,0.4927,4.581e-06,3.2812
107,0.5094,4.525e-06,3.5625
108,0.607,4.469e-06,3.4688
109,0.6777,4.413e-06,3.9219
110,0.4914,4.358e-06,3.0938
111,0.5513,4.302e-06,3.4688
112,0.5996,4.246e-06,3.4844
113,0.5891,4.190e-06,3.5156
114,0.6354,4.134e-06,3.7031
115,0.4337,4.078e-06,2.8906
116,0.5217,4.022e-06,3.25
117,0.64,3.966e-06,3.9062
118,0.6095,3.911e-06,3.5469
119,0.6393,3.855e-06,3.5
120,0.489,3.799e-06,3.1406
121,0.5328,3.743e-06,3.4062
122,0.5326,3.687e-06,3.1406
123,0.4669,3.631e-06,3.4219
124,0.5014,3.575e-06,3.4375
125,0.6602,3.520e-06,3.75
126,0.4253,3.464e-06,3.1719
127,0.5512,3.408e-06,3.4844
128,0.5901,3.352e-06,3.5
129,0.6349,3.296e-06,3.4844
130,0.5709,3.240e-06,3.6875
131,0.5592,3.184e-06,3.4375
132,0.4443,3.128e-06,2.8125
133,0.6074,3.073e-06,3.6562
134,0.5169,3.017e-06,3.2812
135,0.6172,2.961e-06,3.8906
136,0.5404,2.905e-06,3.4531
137,0.5407,2.849e-06,3.7188
138,0.4843,2.793e-06,3.4844
139,0.6284,2.737e-06,3.3906
140,0.5216,2.682e-06,3.3438
141,0.5227,2.626e-06,3.3906
142,0.4607,2.570e-06,3.0156
143,0.5392,2.514e-06,3.2188
144,0.602,2.458e-06,3.5156
145,0.5314,2.402e-06,3.2188
146,0.5498,2.346e-06,3.3906
147,0.3949,2.291e-06,2.7344
148,0.5635,2.235e-06,3.2812
149,0.5613,2.179e-06,3.25
150,0.4891,2.123e-06,3.0469
151,0.4745,2.067e-06,3.1406
152,0.6523,2.011e-06,3.5469
153,0.51,1.955e-06,3.4688
154,0.5935,1.899e-06,3.5938
155,0.4972,1.844e-06,3.2344
156,0.5912,1.788e-06,3.4375
157,0.633,1.732e-06,3.6875
158,0.4995,1.676e-06,3.1875
159,0.5836,1.620e-06,3.3906
160,0.4733,1.564e-06,2.9844
161,0.5159,1.508e-06,3.2188
162,0.5722,1.453e-06,3.2812
163,0.5463,1.397e-06,3.0625
164,0.4696,1.341e-06,3.1406
165,0.4651,1.285e-06,3.2188
166,0.662,1.229e-06,3.6875
167,0.4902,1.173e-06,3.0469
168,0.4934,1.117e-06,3.0156
169,0.5032,1.061e-06,3.25
170,0.5222,1.006e-06,3.4688
171,0.5326,9.497e-07,3.3906
172,0.5412,8.939e-07,3.2969
173,0.5113,8.380e-07,3.1875
174,0.6646,7.821e-07,3.625
175,0.598,7.263e-07,3.4375
176,0.6597,6.704e-07,3.6562
177,0.6173,6.145e-07,3.5469
178,0.5644,5.587e-07,3.5
179,0.5811,5.028e-07,3.4062
180,0.5117,4.469e-07,3.375
