step,loss,lr,grad_norm
1,1.1208,1.111e-06,27.25
2,1.1022,2.222e-06,45.5
3,0.9559,3.333e-06,28.5
4,0.7929,4.444e-06,39.25
5,0.7918,5.556e-06,105.5
6,0.7821,6.667e-06,16.625
7,0.9333,7.778e-06,20.875
8,0.8691,8.889e-06,9.5625
9,0.8911,1.000e-05,8.5625
10,0.6601,9.944e-06,10.75
11,0.6777,9.888e-06,8.0625
12,0.784,9.832e-06,5.8438
13,0.6733,9.777e-06,5.625
14,0.5866,9.721e-06,5.4375
15,0.8035,9.665e-06,5.7812
16,0.6032,9.609e-06,5.1875
17,0.6914,9.553e-06,5.8438
18,0.6702,9.497e-06,5.4062
19,0.6941,9.441e-06,5.375
20,0.701,9.385e-06,5.5938
21,0.6079,9.330e-06,5.25
22,0.6931,9.274e-06,5.3125
23,0.5403,9.218e-06,4.625
24,0.5513,9.162e-06,4.7812
25,0.6866,9.106e-06,5.5312
26,0.6646,9.050e-06,5.75
27,0.6475,8.994e-06,4.8438
28,0.6306,8.939e-06,5.3438
29,0.6092,8.883e-06,5.0312
30,0.5431,8.827e-06,5.125
31,0.6445,8.771e-06,5.25
32,0.5719,8.715e-06,4.625
33,0.5678,8.659e-06,4.9375
34,0.5855,8.603e-06,5.125
35,0.5411,8.547e-06,4.7188
36,0.5563,8.492e-06,4.5312
37,0.6096,8.436e-06,5.5312
38,0.5452,8.380e-06,4.6562
39,0.5378,8.324e-06,4.625
40,0.5962,8.268e-06,5.25
41,0.5536,8.212e-06,4.5938
42,0.6187,8.156e-06,5.2188
43,0.6385,8.101e-06,5.3438
44,0.5913,8.045e-06,5.4062
45,0.6136,7.989e-06,5.0625
46,0.537,7.933e-06,4.5938
47,0.5503,7.877e-06,4.75
48,0.5961,7.821e-06,5.3438
49,0.5444,7.765e-06,5.0938
50,0.5404,7.709e-06,4.625
51,0.6618,7.654e-06,5.5938
52,0.5588,7.598e-06,4.8125
53,0.5889,7.542e-06,5.3438
54,0.6514,7.486e-06,5.1875
55,0.5654,7.430e-06,5.2188
56,0.5168,7.374e-06,4.6875
57,0.554,7.318e-06,4.8125
58,0.5202,7.263e-06,4.6562
59,0.4833,7.207e-06,4.375
60,0.5545,7.151e-06,5.0312
61,0.539,7.095e-06,4.875
62,0.5346,7.039e-06,4.3438
63,0.5128,6.983e-06,4.7188
64,0.4895,6.927e-06,4.25
65,0.4874,6.872e-06,4.5312
66,0.5131,6.816e-06,4.6875
67,0.4854,6.760e-06,4.4375
68,0.5988,6.704e-06,5.1562
69,0.5544,6.648e-06,5.375
70,0.6212,6.592e-06,4.875
71,0.6137,6.536e-06,5.125
72,0.5137,6.480e-06,4.5625
73,0.5939,6.425e-06,4.8438
74,0.5566,6.369e-06,4.6562
75,0.5478,6.313e-06,4.8438
76,0.509,6.257e-06,4.4688
77,0.5466,6.201e-06,4.625
78,0.5644,6.145e-06,4.6875
79,0.4428,6.089e-06,3.9844
80,0.5843,6.034e-06,4.7812
81,0.6128,5.978e-06,4.9375
82,0.5618,5.922e-06,4.6562
83,0.515,5.866e-06,4.3125
84,0.624,5.810e-06,5.0
85,0.6171,5.754e-06,4.75
86,0.5493,5.698e-06,5.3125
87,0.6028,5.642e-06,5.0938
88,0.5266,5.587e-06,4.75
89,0.5315,5.531e-06,4.4688
90,0.5602,5.475e-06,4.7188
91,0.4589,5.419e-06,4.375
92,0.5127,5.363e-06,4.6562
93,0.495,5.307e-06,4.3125
94,0.5514,5.251e-06,5.0312
95,0.4731,5.196e-06,4.2188
96,0.5598,5.140e-06,5.125
97,0.5267,5.084e-06,4.7188
98,0.6069,5.028e-06,5.1875
99,0.4643,4.972e-06,4.0938
100,0.4536,4.916e-06,4.0312
101,0.5186,4.860e-06,4.6875
